CHROMATOGRAM,Lactoferrin_M9,CHROMATOGRAM,IgY_M9-1,CHROMATOGRAM,IgY_M9-2,CHROMATOGRAM,IgY_M9-3
Lactoferrin_M9.raw,,IgY_M9_1.raw,,IgY_M9_2.raw,,IgY_M9_3.raw,
Data points: 929,,Data points: 922,,Data points: 921,,Data points: 923,
Time,--,Time,--,Time,--,0.021072,0.004774311
7.153203,0.001858135,7.14537,0.063933642,7.1482,0.233189016,6.481932,0
7.256805,0.001624626,7.248693,0.132324299,7.251748,0.335847728,6.574335,0
7.360148,0.003638986,7.35223,0.080290248,7.355125,0.167973458,6.666622,0
7.46373,0.001638979,7.455505,0.041179407,7.458713,0.21925322,6.759028,0.002728178
7.567192,0.003320464,7.559053,0.126225226,7.562233,0.161030356,6.851435,0.002273482
7.670678,0.00179962,7.662415,0.035122985,7.665577,0.252431325,6.943703,0
7.774253,0.001565559,7.765975,0.104324008,7.76908,0.234428856,7.03624,0
7.877755,0.001479442,7.869488,0.054443825,7.87241,0.422884462,7.128525,0
7.9811,0.001727304,7.972832,0.092147187,7.97595,0.251290673,7.221033,0
8.084575,1.54E-04,8.076415,0.093746595,8.07931,0.18185966,7.313435,0.00250083
8.187905,0.002644227,8.179742,0.107565474,8.182905,0.1792312,7.405713,0
8.291388,0.003435286,8.283303,0.072314536,8.286258,0.334806263,7.498278,0.012049453
8.394733,0.001550654,8.38672,0.141238329,8.389598,0.41926413,7.590665,0.006593097
8.49828,0.002415686,8.490075,0.142880388,8.493078,0.377109587,7.683055,0.003637571
8.601623,0.004294798,8.593553,0.191481045,8.596437,0.323994862,7.775348,0.003637571
8.705198,0.004528859,8.696898,0.131130075,8.699917,0.548257034,7.867643,0
8.808572,0.004937914,8.80038,0.100890614,8.803282,0.514186244,7.959915,0.001136741
8.9119,0.002462608,8.90373,0.121789536,8.906798,0.34556807,8.052428,4.55E-04
9.015432,0.002763465,9.007367,0.135779019,9.010178,0.448375562,8.144867,0.005456356
9.118832,0.004294246,9.110727,0.131066099,9.113673,0.476891871,8.237158,0
9.222463,0.004871118,9.21422,0.125372209,9.217173,0.618283169,8.329432,0.004774311
