,Normalized1
,"Normalize to [0, 1] of B"
CHROMATOGRAM,--
IgY_man-10.raw,--
Data points: 893,--
Time,--
29.152348,0.761912469
29.234202,0.401761769
29.316273,0.12118578
29.400095,0.036099474
29.487455,0.019304623
29.579095,0.015305449
29.672082,0.012990292
29.766713,0.012042961
29.862952,0.011614682
29.96118,0.010585512
30.058522,0.010043574
30.156993,0.010093239
30.255358,0.009476184
30.354553,0.00956176
30.453025,0.009109466
30.553077,0.008886526
30.653183,0.008623628
30.754893,0.008381295
30.854875,0.008565339
30.955652,0.008232387
31.057112,0.008198577
31.160347,0.008018182
31.262427,0.008044872
31.36566,0.008177017
31.466783,0.008086377
31.569192,0.008403673
31.672242,0.008370083
31.77438,0.008351199
31.875257,0.008362366
31.976923,0.009106238
32.078013,0.008966021
32.177832,0.009259634
32.277128,0.009591369
32.37658,0.009533544
32.475787,0.009821584
32.573342,0.010061795
32.672168,0.010210856
32.771055,0.010478664
32.867522,0.010935335
32.965498,0.011232619
33.06157,0.011358484
33.158175,0.011681109
33.254903,0.011938678
33.350682,0.012277157
33.447193,0.013023063
33.541297,0.013413994
33.63559,0.014419304
33.730995,0.015829521
33.823298,0.016074839
33.91695,0.016254947
34.009658,0.015874211
34.10188,0.01697025
34.192955,0.017925806
34.283717,0.018687589
34.373662,0.021854175
34.463145,0.024332391
34.55202,0.025402934
34.64021,0.030393376
34.726693,0.045361673
34.811015,0.15390422
34.8933,0.518406393
34.97499,0.884012964
35.056803,1
35.138385,0.81344757
35.220263,0.615511911
35.302242,0.380161404
35.384413,0.168632859
35.467202,0.060143184
35.553917,0.018171235
35.649637,0.007415853
35.754752,0.006434579
35.860927,0.011615213
35.957742,0.020260003
36.047658,0.027963896
36.136347,0.034392815
36.224382,0.034298261
36.3134,0.030374204
36.403008,0.024143195
36.494625,0.020069855
36.586873,0.016793724
36.681462,0.016312816
36.77678,0.014975085
36.872517,0.01551123
36.968365,0.015903311
37.064285,0.014958656
37.160502,0.015020815
37.255312,0.015150218
37.351737,0.014489446
37.446718,0.015084787
37.540958,0.015184228
37.637008,0.016076608
37.73139,0.01720449
37.825868,0.019565685
37.918952,0.021700624
38.011547,0.023108629
38.10112,0.032281957
38.18854,0.042880206
38.275077,0.057662071
38.36028,0.063047092
38.445607,0.058991863
38.530612,0.047492963
38.617333,0.031941178
38.706805,0.017962514
38.802235,0.008260382
38.907585,0.004942767
39.01518,0.004918885
39.122745,0.00442617
39.230572,0.002472268
39.33905,0.001739298
39.447413,0.00142103
39.55566,0.001441992
39.664038,0.00134536
39.772402,0.001305247
39.880647,0.001357234
39.989045,0.001247622
40.097422,0.001409973
40.20578,0.001382399
40.314213,0.00142972
40.422613,0.001196585
40.530758,0.001407828
40.639208,0.001327404
40.747558,0.001352237
40.855815,0.001241762
40.963893,0.001170603
41.07249,0.001172704
41.180872,0.001260845
41.289097,0.001272012
41.397497,0.001184136
41.50568,0.001148977
41.61388,0.001154615
41.722332,0.00117392
41.83057,0.001325591
41.93894,0.001215072
42.047323,0.001144864
42.155688,0.001187851
42.263897,0.001180819
42.372478,0.001132083
42.480842,0.001083302
42.589032,0.001108112
42.697398,0.001088454
42.805758,0.001046086
42.913862,0.001185264
43.022308,0.001091594
43.13053,0.001132901
43.239118,0.001212551
43.347355,0.001334193
43.455863,0.001505898
43.564177,0.001312235
43.672403,0.001098317
43.780878,0.001081069
43.889383,0.001173168
43.997613,0.001097034
44.106022,0.001117975
44.2144,0.001150746
44.322748,0.001106122
44.430897,0.001031625
44.539362,0.001079852
44.647737,0.001044848
44.756097,0.001268739
44.86458,0.001069636
44.972945,0.001023067
45.081178,0.001031337
45.18975,9.62E-04
45.298132,0.00108611
45.406392,0.001121645
45.514893,0.001071848
45.62337,0.001094159
45.731485,0.00105146
45.839928,0.001053759
45.948298,9.76E-04
46.056623,9.50E-04
46.165048,0.001033681
46.273347,0.001064506
46.38158,0.001004603
46.49008,0.001029723
46.598333,0.001070499
46.706548,0.001055993
46.814885,0.001100859
46.923303,0.001031647
47.031438,0.001106609
47.139722,0.001111164
47.248037,0.001212639
47.356205,0.001131441
47.464647,0.001131773
47.573023,0.001019264
47.681262,9.43E-04
47.789837,0.001083678
47.898092,0.001045666
48.006308,0.001035273
48.114668,9.77E-04
48.223038,0.001065855
48.331522,0.001096415
48.43991,0.001229954
48.548053,0.001379347
48.656668,0.001669112
48.764958,0.001421892
48.8731,0.001081378
48.981545,9.58E-04
49.090002,9.65E-04
49.198192,0.001051637
49.306625,0.00109542
49.414807,0.001102186
49.523313,0.001041111
49.631533,0.001065302
49.73968,9.66E-04
49.848168,9.93E-04
49.956678,9.22E-04
50.064925,0.001059288
50.173378,0.001153797
50.281722,0.001120098
50.390003,0.001029679
50.49847,0.001084651
50.60685,9.48E-04
50.715088,0.001063821
50.823452,0.001117975
50.931828,0.001116847
51.040052,0.001074833
51.148415,9.91E-04
51.256788,0.001048231
51.36527,9.48E-04
51.473513,9.74E-04
51.581723,0.001034742
51.690348,0.001123238
51.798702,0.001059597
51.906942,0.001042349
52.01539,9.98E-04
52.123918,9.82E-04
52.232167,9.55E-04
52.340612,0.001053671
52.448962,9.67E-04
52.557052,0.001062914
52.665395,0.001044538
52.77368,0.001045666
52.88184,9.72E-04
52.990382,9.50E-04
53.09875,0.001036445
53.206982,0.001039762
53.315352,9.64E-04
53.423727,9.57E-04
53.531963,9.82E-04
53.640212,8.99E-04
53.748437,0.001049204
53.856973,0.00102048
53.965192,0.001039253
54.07338,0.001083921
54.181855,9.99E-04
54.29036,0.001031426
54.398582,0.001026848
54.507082,9.63E-04
54.61537,0.001007566
54.723695,0.001010529
54.83218,0.001010839
54.940567,0.001020126
55.048783,9.80E-04
55.15733,0.001005266
55.265677,9.65E-04
55.37386,0.00101504
55.482353,0.001016544
55.590863,0.001099599
55.698958,9.42E-04
55.807468,0.001046595
55.915782,9.86E-04
56.024142,9.64E-04
56.132567,9.74E-04
56.240942,9.93E-04
56.349165,0.00101431
56.457787,0.001004138
56.566098,9.57E-04
56.674347,9.84E-04
56.782718,0.001046882
56.891235,0.001074789
56.999448,9.98E-04
57.107927,9.52E-04
57.216307,0.001081135
57.324658,0.001111894
57.433045,0.001009645
57.541422,9.47E-04
57.649663,0.001017915
57.758113,9.87E-04
57.86648,0.001042194
57.974617,0.00102132
58.083032,9.88E-04
58.19141,0.001091218
58.299613,0.001043101
58.408072,9.26E-04
58.516437,0.001013072
58.624655,9.95E-04
58.733082,9.51E-04
58.84146,0.001056192
58.9497,9.97E-04
59.058128,9.86E-04
59.166307,9.09E-04
59.274665,9.70E-04
59.38288,9.19E-04
59.491107,9.76E-04
59.599598,9.46E-04
59.708035,0.001019816
59.816235,9.06E-04
59.924473,0.001151675
60.032917,0.001014156
60.141305,0.001001153
60.249443,9.97E-04
60.357825,0.001052587
60.466172,9.99E-04
60.574388,8.64E-04
60.682752,0.001039253
60.791245,0.001118704
60.899477,0.001062118
61.007783,0.00106486
61.115998,9.40E-04
61.224493,9.82E-04
61.332867,0.001059752
61.441072,0.001021851
61.54955,9.80E-04
61.657912,0.001070233
61.766132,0.001070211
61.87462,9.97E-04
61.98285,9.37E-04
62.091083,0.001021983
62.199555,9.71E-04
62.307812,0.001010463
62.416033,9.84E-04
62.524473,0.001071582
62.632852,9.44E-04
62.741088,0.001087968
62.84957,9.86E-04
62.957777,9.49E-04
