,8E1  1743-f,,8G1  1743-f,,8E2  1743-f,,8D3  1743-f
488.0833,0,488.0833,5.69E-05,488.0833,2.49E-04,487.416667,0
488.1667,0,488.1667,6.29E-05,488.1667,1.38E-04,487.5,0
488.25,0,488.25,4.52E-05,488.25,3.27E-05,487.583334,0
488.3333,0,488.3333,6.50E-05,488.3333,7.59E-05,487.666667,0
488.4167,0,488.4167,6.86E-05,488.4167,4.96E-05,487.75,0
488.5,0,488.5,1.04E-04,488.5,9.69E-06,487.833334,0
488.5833,0,488.5833,8.99E-05,488.5833,0,487.916667,0
488.6667,0,488.6667,2.78E-05,488.6667,0,488,0
488.75,0,488.75,2.41E-05,488.75,0,488.083334,0
488.8333,0,488.8333,2.08E-05,488.8333,0,488.166667,0
488.9167,0,488.9167,4.00E-05,488.9167,0,488.25,0
489,0,489,6.72E-05,489,4.20E-05,488.333334,0
489.0833,0,489.0833,6.41E-05,489.0833,1.16E-04,488.416667,0
489.1667,0,489.1667,9.12E-05,489.1667,4.04E-05,488.5,0
489.25,0,489.25,6.53E-05,489.25,4.04E-06,488.583334,0
489.3333,0,489.3333,4.11E-05,489.3333,2.02E-06,488.666667,0
489.4167,0,489.4167,1.94E-04,489.4167,1.31E-04,488.75,0
489.5,0,489.5,9.88E-05,489.5,1.33E-04,488.833334,0
489.5833,0,489.5833,5.28E-05,489.5833,3.27E-05,488.916667,0
489.6667,0,489.6667,2.59E-05,489.6667,4.28E-05,489,0
489.75,0,489.75,4.98E-06,489.75,2.07E-04,489.083334,0
489.8333,0,489.8333,0,489.8333,1.09E-04,489.166667,0
489.9167,0,489.9167,0,489.9167,1.74E-05,489.25,0
490,0,490,0,490,0,489.333334,0
490.0833,0,490.0833,0,490.0833,0,489.416667,0
490.1667,0,490.1667,0,490.1667,0,489.5,0
490.25,0,490.25,0,490.25,0,489.583334,0
490.3333,0,490.3333,0,490.3333,0,489.666667,0
490.4167,0,490.4167,0,490.4167,0,489.75,0
490.5,0,490.5,1.06E-04,490.5,1.24E-04,489.833334,0
490.5833,0,490.5833,2.19E-04,490.5833,3.31E-04,489.916667,0
490.6667,0,490.6667,2.09E-04,490.6667,2.51E-04,490,0
490.75,0,490.75,1.56E-04,490.75,3.96E-04,490.083334,0
490.8333,0,490.8333,2.12E-04,490.8333,7.57E-04,490.166667,0
490.9167,0,490.9167,8.83E-04,490.9167,8.73E-04,490.25,0
491,0,491,0.001728072,491,0.001636152,490.333334,0
491.0833,0,491.0833,0.002988943,491.0833,0.003814729,490.416667,0
491.1667,0.008941459,491.1667,0.004680244,491.1667,0.004568635,490.5,0
491.25,0.02092891,491.25,0.006787539,491.25,0.004987157,490.583334,0
491.3333,0.00668153,491.3333,0.009805521,491.3333,0.007273089,490.666667,0
491.4167,5.90E-04,491.4167,0.011223788,491.4167,0.008319193,490.75,0
491.5,0,491.5,0.008869748,491.5,0.007949505,490.833334,0
491.5833,0,491.5833,0.006140436,491.5833,0.006773849,490.916667,0
491.6667,0,491.6667,0.004595533,491.6667,0.005565905,491,0
491.75,0,491.75,0.002484973,491.75,0.003100779,491.083334,0
491.8333,0,491.8333,0.001239565,491.8333,8.80E-04,491.166667,0
491.9167,0,491.9167,5.51E-04,491.9167,1.20E-04,491.25,0
492,0,492,2.99E-04,492,6.86E-06,491.333334,0
492.0833,0,492.0833,1.80E-04,492.0833,0,491.416667,0
492.1667,0,492.1667,2.87E-04,492.1667,4.20E-05,491.5,0
492.25,0,492.25,4.97E-04,492.25,1.55E-04,491.583334,0
492.3333,0,492.3333,7.53E-04,492.3333,3.29E-04,491.666667,0
492.4167,0,492.4167,0.001063614,492.4167,5.99E-04,491.75,0
492.5,0,492.5,0.001615868,492.5,8.12E-04,491.833334,0
492.5833,0,492.5833,0.001229427,492.5833,5.65E-04,491.916667,0
492.6667,0,492.6667,7.58E-04,492.6667,1.13E-04,492,0
492.75,0,492.75,4.01E-04,492.75,4.88E-05,492.083334,0
492.8333,0,492.8333,1.69E-04,492.8333,4.54E-04,492.166667,0
492.9167,0,492.9167,2.05E-04,492.9167,3.58E-04,492.25,0
493,0.003832054,493,5.48E-04,493,7.99E-05,492.333334,0
493.0833,0.020830652,493.0833,0.001212245,493.0833,3.59E-05,492.416667,0
493.1667,0.011397904,493.1667,0.001264137,493.1667,2.26E-04,492.5,0
493.25,0.001866898,493.25,0.001682881,493.25,6.96E-04,492.583334,0
493.3333,0,493.3333,0.002356961,493.3333,9.28E-04,492.666667,0
493.4167,0,493.4167,0.003049599,493.4167,0.00132216,492.75,0
493.5,0,493.5,0.002710583,493.5,9.51E-04,492.833334,0
493.5833,0,493.5833,0.00200334,493.5833,8.12E-04,492.916667,0
493.6667,0,493.6667,0.001084061,493.6667,4.66E-04,493,0
493.75,0,493.75,5.65E-04,493.75,1.85E-04,493.083334,0
493.8333,0,493.8333,2.93E-04,493.8333,3.19E-05,493.166667,0
493.9167,0,493.9167,2.21E-04,493.9167,1.61E-06,493.25,0
494,0,494,1.47E-04,494,0,493.333334,0
494.0833,0,494.0833,2.30E-04,494.0833,2.42E-06,493.416667,0
494.1667,0,494.1667,2.46E-04,494.1667,1.44E-04,493.5,0
494.25,0,494.25,2.95E-04,494.25,1.11E-04,493.583334,0
494.3333,0,494.3333,2.79E-04,494.3333,2.34E-05,493.666667,0
494.4167,0,494.4167,5.24E-04,494.4167,4.16E-05,493.75,0
494.5,0,494.5,6.07E-04,494.5,9.04E-05,493.833334,0
494.5833,0,494.5833,4.44E-04,494.5833,2.95E-05,493.916667,0
494.6667,0,494.6667,2.05E-04,494.6667,2.83E-06,494,0
494.75,0,494.75,5.86E-05,494.75,0,494.083334,0
494.8333,0,494.8333,1.01E-05,494.8333,0,494.166667,0
494.9167,0,494.9167,1.03E-06,494.9167,0,494.25,0
495,0,495,0,495,0,494.333334,0
495.0833,3.93E-04,495.0833,0,495.0833,0,494.416667,0
495.1667,0.031442493,495.1667,1.28E-04,495.1667,0,494.5,0
495.25,0.027315666,495.25,3.34E-04,495.25,6.38E-05,494.583334,0
495.3333,0.006190241,495.3333,3.05E-04,495.3333,5.02E-04,494.666667,0
495.4167,1.97E-04,495.4167,1.92E-04,495.4167,5.53E-04,494.75,0
495.5,0,495.5,1.52E-04,495.5,1.65E-04,494.833334,0
495.5833,0,495.5833,2.92E-04,495.5833,1.53E-05,494.916667,0
495.6667,0,495.6667,1.74E-04,495.6667,0,495,0
495.75,0,495.75,5.38E-05,495.75,0,495.083334,0
495.8333,0,495.8333,7.39E-06,495.8333,0,495.166667,0
495.9167,0,495.9167,0,495.9167,0,495.25,0
496,0,496,2.04E-05,496,0,495.333334,0
496.0833,0,496.0833,5.89E-05,496.0833,4.08E-05,495.416667,0
496.1667,0,496.1667,2.41E-05,496.1667,2.26E-04,495.5,0
496.25,0,496.25,2.75E-06,496.25,1.49E-04,495.583334,0
496.3333,0,496.3333,2.53E-05,496.3333,2.83E-05,495.666667,0
496.4167,0,496.4167,7.25E-05,496.4167,7.75E-05,495.75,0
496.5,0,496.5,7.03E-05,496.5,4.74E-04,495.833334,0
496.5833,0,496.5833,5.48E-05,496.5833,3.87E-04,495.916667,0
496.6667,0,496.6667,5.86E-05,496.6667,1.80E-04,496,0
496.75,0,496.75,1.87E-05,496.75,3.43E-05,496.083334,0
496.8333,0,496.8333,1.89E-06,496.8333,8.07E-07,496.166667,0
496.9167,0,496.9167,7.22E-06,496.9167,0,496.25,0
497,0,497,3.90E-05,497,0,496.333334,0
497.0833,0,497.0833,5.28E-05,497.0833,0,496.416667,0
497.1667,0,497.1667,6.07E-05,497.1667,1.04E-04,496.5,0
497.25,0,497.25,6.94E-05,497.25,6.24E-04,496.583334,0
497.3333,0,497.3333,3.90E-05,497.3333,6.72E-04,496.666667,0
497.4167,0,497.4167,4.42E-05,497.4167,3.62E-04,496.75,0
497.5,0,497.5,6.62E-05,497.5,1.91E-04,496.833334,0
497.5833,0,497.5833,7.54E-05,497.5833,6.98E-05,496.916667,0
497.6667,0,497.6667,2.34E-05,497.6667,8.88E-06,497.000001,0
497.75,0,497.75,2.41E-06,497.75,0,497.083334,0
497.8333,0,497.8333,0,497.8333,0,497.166667,0
497.9167,0,497.9167,0,497.9167,0,497.250001,0
498,0,498,0,498,0,497.333334,0
498.0833,0,498.0833,0,498.0833,0,497.416667,0
498.1667,0,498.1667,0,498.1667,0,497.500001,0
498.25,0,498.25,0,498.25,0,497.583334,0
498.3333,0,498.3333,2.44E-05,498.3333,0,497.666667,0
498.4167,0,498.4167,6.17E-05,498.4167,0,497.750001,0
498.5,0,498.5,5.50E-05,498.5,0,497.833334,0
498.5833,0,498.5833,2.51E-05,498.5833,0,497.916667,0
498.6667,0,498.6667,4.12E-06,498.6667,0,498.000001,0
498.75,0,498.75,0,498.75,0,498.083334,0
498.8333,0,498.8333,0,498.8333,0,498.166667,0
498.9167,0,498.9167,0,498.9167,0,498.250001,0
499,0,499,0,499,0,498.333334,0
499.0833,0,499.0833,0,499.0833,0,498.416667,0
499.1667,0,499.1667,0,499.1667,0,498.500001,0
499.25,0,499.25,2.06E-06,499.25,0,498.583334,0
499.3333,0,499.3333,9.71E-05,499.3333,0,498.666667,0
499.4167,0,499.4167,2.54E-04,499.4167,0,498.750001,0
499.5,0,499.5,1.34E-04,499.5,0,498.833334,0
499.5833,0,499.5833,3.42E-05,499.5833,0,498.916667,0
499.6667,0,499.6667,2.08E-05,499.6667,0,499.000001,0
499.75,0,499.75,1.41E-05,499.75,0,499.083334,0
499.8333,0,499.8333,2.92E-06,499.8333,0,499.166667,0
499.9167,0,499.9167,0,499.9167,0,499.250001,0
500,0,500,0,500,0,499.333334,0
500.0833,0,500.0833,3.78E-06,500.0833,0,499.416667,0
500.1667,0,500.1667,3.49E-05,500.1667,0,499.500001,0
500.25,0,500.25,4.02E-05,500.25,0,499.583334,0
500.3333,0,500.3333,1.18E-04,500.3333,7.35E-05,499.666667,0
500.4167,0,500.4167,7.42E-05,500.4167,2.06E-04,499.750001,0
500.5,0,500.5,6.56E-05,500.5,1.23E-04,499.833334,0
500.5833,0,500.5833,1.22E-04,500.5833,3.11E-05,499.916667,0
