,8E1  1743-f,,8G1  1743-f,,8E2  1743-f,,8D3  1743-f
904.4167,0,904.4167,5.40E-04,904.4167,0.017667137,903.750013,0
904.5,0,904.5,7.71E-04,904.5,0.017531531,903.833346,0
904.5833,0,904.5833,6.52E-04,904.5833,0.018915843,903.916679,0
904.6667,0,904.6667,7.67E-04,904.6667,0.017496418,904.000013,0
904.75,0,904.75,7.49E-04,904.75,0.011475668,904.083346,0
904.8333,0,904.8333,6.20E-04,904.8333,0.006897347,904.166679,0
904.9167,8.84E-04,904.9167,0.001084233,904.9167,0.004984332,904.250013,0
905,0.012576997,905,0.001943887,905,0.003341722,904.333346,0
905.0833,0.01021881,905.0833,0.002650271,905.0833,0.002738356,904.416679,0
905.1667,0.00491289,905.1667,0.004001524,905.1667,0.002567637,904.500013,0
905.25,0.030852946,905.25,0.007496672,905.25,0.003540692,904.583346,0
905.3333,0.04048221,905.3333,0.011158665,905.3333,0.006620485,904.666679,0
905.4167,0.090986715,905.4167,0.012641023,905.4167,0.010914678,904.750013,0
905.5,0.049423669,905.5,0.013997259,905.5,0.012748993,904.833346,0
905.5833,0.022894065,905.5833,0.014869628,905.5833,0.011226653,904.916679,0
905.6667,0.007762365,905.6667,0.014295896,905.6667,0.009129198,905.000013,0
905.75,0.001080836,905.75,0.011204371,905.75,0.006561157,905.083346,0
905.8333,0,905.8333,0.007103702,905.8333,0.004170695,905.166679,0
905.9167,0,905.9167,0.004460648,905.9167,0.002583781,905.250013,0
906,0,906,0.002645116,906,0.001448483,905.333346,0
906.0833,0,906.0833,0.001634769,906.0833,5.08E-04,905.416679,0
906.1667,0,906.1667,0.001295066,906.1667,8.80E-05,905.500013,0
906.25,0,906.25,0.001807456,906.25,5.94E-04,905.583346,0
906.3333,0,906.3333,0.002482223,906.3333,7.09E-04,905.666679,0
906.4167,0,906.4167,0.003484495,906.4167,0.001514268,905.750013,0
906.5,0,906.5,0.004627665,906.5,0.002245573,905.833346,0
906.5833,0,906.5833,0.003629861,906.5833,0.002325484,905.916679,0
906.6667,0,906.6667,0.003291704,906.6667,0.001581668,906.000013,0
906.75,0,906.75,0.003215584,906.75,0.001230545,906.083346,0
906.8333,0,906.8333,0.003301842,906.8333,0.002401762,906.166679,0
906.9167,0,906.9167,0.00498352,906.9167,0.002511942,906.250013,0
907,0,907,0.007753211,907,0.003297731,906.333346,0
907.0833,0,907.0833,0.01240287,907.0833,0.006785956,906.416679,0
907.1667,0,907.1667,0.020685825,907.1667,0.009804,906.500013,0
907.25,0.00265296,907.25,0.031471109,907.25,0.014147028,906.583346,0
907.3333,0.014836926,907.3333,0.042016177,907.3333,0.019864279,906.666679,0
907.4167,0.009236232,907.4167,0.052832045,907.4167,0.023896139,906.750013,0
907.5,0.00176864,907.5,0.065396605,907.5,0.026282565,906.833346,0
907.5833,0.002259929,907.5833,0.064958272,907.5833,0.027114767,906.916679,0
907.6667,0.009039717,907.6667,0.056777382,907.6667,0.021079891,907.000013,0
907.75,0.003635538,907.75,0.046426136,907.75,0.016215425,907.083346,0
907.8333,7.86E-04,907.8333,0.031297047,907.8333,0.010549026,907.166679,0
907.9167,0.02800347,907.9167,0.018459282,907.9167,0.006446134,907.250013,0
908,0.037534476,908,0.009749334,908,0.00268266,907.333346,0
908.0833,0.011692677,908.0833,0.005205865,908.0833,0.002608803,907.416679,0
908.1667,0.001080836,908.1667,0.004720795,908.1667,0.002718176,907.500013,0
908.25,0,908.25,0.006210026,908.25,0.002960734,907.583346,0
908.3333,0.034783258,908.3333,0.008153226,908.3333,0.003972533,907.666679,0
908.4167,0.039008343,908.4167,0.011106601,908.4167,0.004888681,907.750013,0
908.5,0.02269755,908.5,0.013585216,908.5,0.006182993,907.833346,0
908.5833,0.027806955,908.5833,0.015337859,908.5833,0.006882818,907.916679,0
908.6667,0.009039717,908.6667,0.013136058,908.6667,0.007460355,908.000013,0
908.75,8.84E-04,908.75,0.0087694,908.75,0.005732991,908.083346,0
908.8333,0,908.8333,0.005886646,908.8333,0.003228717,908.166679,0
908.9167,0,908.9167,0.004475941,908.9167,0.001379873,908.250013,0
909,0,909,0.002787733,909,5.41E-04,908.333346,0
909.0833,0,909.0833,0.001217056,909.0833,4.02E-04,908.416679,0
909.1667,0,909.1667,6.24E-04,909.1667,5.73E-04,908.500013,0
909.25,0,909.25,5.38E-04,909.25,5.22E-04,908.583346,0
909.3333,0.011790935,909.3333,6.71E-04,909.3333,4.44E-04,908.666679,0
909.4167,0.008548428,909.4167,6.81E-04,909.4167,3.17E-04,908.750013,0
909.5,0.001670382,909.5,9.62E-04,909.5,2.18E-04,908.833346,0
909.5833,0,909.5833,9.27E-04,909.5833,6.74E-04,908.916679,0
909.6667,0,909.6667,0.001082858,909.6667,0.001192607,909.000013,0
909.75,0,909.75,0.001008972,909.75,5.44E-04,909.083346,0
909.8333,0,909.8333,4.55E-04,909.8333,2.32E-04,909.166679,0
909.9167,0,909.9167,3.12E-04,909.9167,3.02E-04,909.250013,0
910,0,910,2.65E-04,910,3.51E-04,909.333346,0
910.0833,0,910.0833,3.06E-04,910.0833,3.68E-04,909.416679,0
910.1667,0,910.1667,3.01E-04,910.1667,3.79E-04,909.500013,0
910.25,0,910.25,2.98E-04,910.25,3.60E-04,909.583346,0
910.3333,0,910.3333,3.62E-04,910.3333,2.82E-04,909.666679,0
910.4167,0,910.4167,4.74E-04,910.4167,2.38E-04,909.750013,0
910.5,0,910.5,8.04E-04,910.5,6.67E-04,909.833346,0
910.5833,0,910.5833,8.19E-04,910.5833,8.92E-04,909.916679,0
910.6667,0,910.6667,4.38E-04,910.6667,4.19E-04,910.000013,0
910.75,0,910.75,2.02E-04,910.75,5.47E-04,910.083346,0
910.8333,0,910.8333,1.11E-04,910.8333,0.001856916,910.166679,0
910.9167,0,910.9167,1.93E-04,910.9167,0.003580647,910.250013,0
911,0,911,3.54E-04,911,0.003999977,910.333346,0
911.0833,0,911.0833,2.28E-04,911.0833,0.006363398,910.416679,0
911.1667,0,911.1667,2.20E-04,911.1667,0.009655075,910.500013,0
911.25,0,911.25,2.63E-04,911.25,0.017138838,910.583346,0
911.3333,0,911.3333,4.80E-04,911.3333,0.02510933,910.66668,0
911.4167,0,911.4167,0.001044025,911.4167,0.030177609,910.750013,0
911.5,0,911.5,0.001115334,911.5,0.033044306,910.833346,0
911.5833,0,911.5833,0.00133493,911.5833,0.030598956,910.91668,0
911.6667,0,911.6667,9.81E-04,911.6667,0.02454834,911.000013,0
911.75,0,911.75,3.91E-04,911.75,0.014486447,911.083346,0
911.8333,0,911.8333,1.61E-04,911.8333,0.009485164,911.16668,0
911.9167,0,911.9167,1.86E-04,911.9167,0.00866507,911.250013,0
912,0,912,2.64E-04,912,0.00579918,911.333346,0
912.0833,0,912.0833,1.23E-04,912.0833,0.005617564,911.41668,0
912.1667,0,912.1667,1.09E-04,912.1667,0.008203767,911.500013,0
912.25,0,912.25,3.65E-04,912.25,0.012348632,911.583346,0
912.3333,0,912.3333,6.25E-04,912.3333,0.017503279,911.66668,0
912.4167,0,912.4167,7.27E-04,912.4167,0.020584283,911.750013,0
912.5,0,912.5,6.29E-04,912.5,0.023746004,911.833346,0
912.5833,0,912.5833,6.51E-04,912.5833,0.022577208,911.91668,0
912.6667,0,912.6667,0.001026327,912.6667,0.017895165,912.000013,0
912.75,0,912.75,8.72E-04,912.75,0.012608141,912.083346,0
912.8333,0,912.8333,3.68E-04,912.8333,0.008496773,912.16668,0
912.9167,0,912.9167,1.60E-04,912.9167,0.005251105,912.250013,0
913,0,913,1.18E-04,913,0.00383168,912.333346,0
913.0833,0.006091983,913.0833,1.15E-04,913.0833,0.005511017,912.41668,0
913.1667,0.010808357,913.1667,2.31E-04,913.1667,0.006199944,912.500013,0
913.25,0.00265296,913.25,4.64E-04,913.25,0.008270763,912.583346,0
913.3333,9.83E-05,913.3333,8.04E-04,913.3333,0.010732256,912.66668,0
913.4167,0,913.4167,8.24E-04,913.4167,0.011445802,912.750013,0
913.5,0,913.5,7.39E-04,913.5,0.013396755,912.833346,0
913.5833,0,913.5833,7.24E-04,913.5833,0.012938277,912.91668,0
913.6667,0,913.6667,7.75E-04,913.6667,0.008815205,913.000013,0
913.75,0,913.75,6.22E-04,913.75,0.006307703,913.083346,0
913.8333,0,913.8333,3.42E-04,913.8333,0.003518091,913.16668,0
913.9167,0,913.9167,3.19E-04,913.9167,0.00244535,913.250013,0
914,0,914,1.91E-04,914,0.001934002,913.333346,0
914.0833,0,914.0833,1.31E-04,914.0833,0.001279783,913.41668,0
914.1667,0,914.1667,1.69E-04,914.1667,0.001698709,913.500013,0
914.25,0,914.25,2.50E-04,914.25,0.003338494,913.583346,0
914.3333,0.021027167,914.3333,2.57E-04,914.3333,0.006091379,913.66668,0
914.4167,0.02800347,914.4167,7.37E-04,914.4167,0.006097029,913.750013,0
914.5,0.007467592,914.5,0.001114647,914.5,0.006338779,913.833346,0
914.5833,4.91E-04,914.5833,0.001517239,914.5833,0.006298016,913.91668,0
914.6667,0,914.6667,0.001546278,914.6667,0.005168773,914.000013,0
914.75,0.001866898,914.75,0.002781376,914.75,0.003637957,914.083346,0
914.8333,0.008548428,914.8333,0.004918741,914.8333,0.001942477,914.16668,0
914.9167,0.004225085,914.9167,0.007566434,914.9167,0.001305209,914.250013,0
915,5.90E-04,915,0.013337097,915,0.002280685,914.333346,0
915.0833,0,915.0833,0.024675494,915.0833,0.004133969,914.41668,0
915.1667,0,915.1667,0.039627771,915.1667,0.008445517,914.500013,0
915.25,0.005207663,915.25,0.059433323,915.25,0.00894839,914.583346,0
915.3333,0.048441091,915.3333,0.081733642,915.3333,0.011363066,914.66668,0
915.4167,0.029870368,915.4167,0.110037622,915.4167,0.01694229,914.750013,0
915.5,0.005207663,915.5,0.136113512,915.5,0.022195009,914.833346,0
915.5833,0,915.5833,0.152714304,915.5833,0.025863639,914.91668,0
915.6667,0,915.6667,0.148110524,915.6667,0.023622506,915.000013,0
915.75,0,915.75,0.122427948,915.75,0.01553578,915.083346,0
915.8333,0,915.8333,0.087407394,915.8333,0.010101445,915.16668,0
915.9167,0,915.9167,0.054962881,915.9167,0.006770216,915.250013,0
916,0,916,0.028883039,916,0.003859124,915.333346,0
916.0833,0,916.0833,0.014833201,916.0833,0.002669746,915.41668,0
916.1667,0,916.1667,0.011573113,916.1667,0.003735222,915.500013,0
916.25,0,916.25,0.012224169,916.25,0.005255544,915.583346,0
916.3333,0,916.3333,0.014857429,916.3333,0.00806251,915.66668,0
916.4167,0,916.4167,0.020781362,916.4167,0.010989746,915.750013,0
916.5,0,916.5,0.025899594,916.5,0.014251961,915.833346,0
916.5833,0,916.5833,0.027716501,916.5833,0.011449031,915.91668,0
916.6667,0,916.6667,0.02503616,916.6667,0.008310718,916.000013,0
916.75,0,916.75,0.020071713,916.75,0.007394973,916.083346,0
916.8333,0,916.8333,0.01495623,916.8333,0.00639286,916.16668,0
916.9167,0,916.9167,0.009239693,916.9167,0.003214188,916.250013,0
917,0,917,0.004941078,917,0.001336285,916.333346,0
917.0833,0,917.0833,0.002717627,917.0833,0.001327406,916.41668,0
917.1667,0,917.1667,0.001339397,917.1667,0.001792745,916.500013,0
917.25,0,917.25,9.05E-04,917.25,0.002453825,916.583346,0
917.3333,0,917.3333,0.001025812,917.3333,0.002871944,916.66668,0
917.4167,0,917.4167,0.001414314,917.4167,0.00235656,916.750013,0
917.5,0,917.5,0.001555385,917.5,0.003660962,916.833346,0
917.5833,0,917.5833,0.001527549,917.5833,0.004040336,916.91668,0
917.6667,0,917.6667,0.00131053,917.6667,0.003042662,917.000013,0
917.75,0,917.75,0.001133891,917.75,0.001799606,917.083346,0
917.8333,0,917.8333,7.03E-04,917.8333,0.001245478,917.16668,0
917.9167,0,917.9167,4.69E-04,917.9167,6.78E-04,917.250013,0
918,0,918,5.07E-04,918,2.66E-04,917.333346,0
918.0833,0,918.0833,3.15E-04,918.0833,1.40E-04,917.41668,0
918.1667,0,918.1667,2.10E-04,918.1667,5.99E-04,917.500013,0
918.25,0,918.25,2.11E-04,918.25,8.58E-04,917.583346,0
918.3333,0,918.3333,2.31E-04,918.3333,7.37E-04,917.66668,0
918.4167,0,918.4167,2.19E-04,918.4167,6.83E-04,917.750013,0
918.5,0,918.5,2.26E-04,918.5,6.95E-04,917.833346,0
918.5833,0,918.5833,3.59E-04,918.5833,2.64E-04,917.91668,0
918.6667,0,918.6667,4.03E-04,918.6667,5.58E-04,918.000013,0
918.75,0,918.75,4.39E-04,918.75,0.001003324,918.083346,0
918.8333,0,918.8333,3.65E-04,918.8333,6.55E-04,918.16668,0
918.9167,0,918.9167,1.52E-04,918.9167,5.81E-04,918.250013,0
919,0,919,1.03E-04,919,0.001110275,918.333346,0
919.0833,0,919.0833,2.68E-04,919.0833,0.001152652,918.41668,0
919.1667,0,919.1667,2.79E-04,919.1667,0.001783059,918.500013,0
919.25,0,919.25,7.10E-04,919.25,0.002913917,918.583346,0
919.3333,0.001965156,919.3333,0.001012237,919.3333,0.005665591,918.66668,0
919.4167,0.014149122,919.4167,0.001278055,919.4167,0.008878972,918.750013,0
919.5,0.008351912,919.5,0.00189526,919.5,0.009045251,918.833346,0
919.5833,0.001473867,919.5833,0.001850413,919.5833,0.007814303,918.91668,0
919.6667,0,919.6667,0.00139043,919.6667,0.007533001,919.000013,0
919.75,0,919.75,0.001157432,919.75,0.006118823,919.083346,0
919.8333,0,919.8333,9.17E-04,919.8333,0.003606477,919.16668,0
919.9167,0,919.9167,7.52E-04,919.9167,0.001444447,919.250013,0
920,0,920,5.32E-04,920,9.58E-04,919.333346,0
920.0833,0,920.0833,3.31E-04,920.0833,6.89E-04,919.41668,0
920.1667,0,920.1667,3.58E-04,920.1667,0.001042068,919.500013,0
920.25,1.97E-04,920.25,2.55E-04,920.25,0.001112697,919.583346,0
920.3333,0.007172819,920.3333,3.10E-04,920.3333,0.001496107,919.66668,0
920.4167,0.007271077,920.4167,3.95E-04,920.4167,0.001751983,919.750013,0
920.5,0.001866898,920.5,3.76E-04,920.5,0.002666113,919.833346,0
920.5833,9.83E-05,920.5833,4.91E-04,920.5833,0.002931272,919.91668,0
920.6667,0,920.6667,7.12E-04,920.6667,0.002476022,920.000013,0
920.75,0,920.75,9.01E-04,920.75,0.002741988,920.083346,0
920.8333,0,920.8333,9.91E-04,920.8333,0.001499336,920.16668,0
920.9167,0,920.9167,0.001331493,920.9167,9.02E-04,920.250013,0
921,0,921,0.001343693,921,3.73E-04,920.333346,0
921.0833,0,921.0833,0.001699548,921.0833,5.20E-04,920.41668,0
921.1667,0,921.1667,0.002120526,921.1667,3.98E-04,920.500013,0
921.25,0,921.25,0.004162699,921.25,3.56E-04,920.583346,0
921.3333,0,921.3333,0.006156588,921.3333,3.84E-04,920.66668,0
921.4167,0,921.4167,0.007545471,921.4167,8.60E-04,920.750013,0
921.5,0,921.5,0.009156013,921.5,0.00135364,920.833346,0
921.5833,0,921.5833,0.008406328,921.5833,0.001900907,920.91668,0
921.6667,0,921.6667,0.007275874,921.6667,0.001730189,921.000013,0
921.75,0,921.75,0.006161914,921.75,0.001111082,921.083346,0
921.8333,0,921.8333,0.00444106,921.8333,5.80E-04,921.16668,0
921.9167,0,921.9167,0.002921243,921.9167,5.43E-04,921.250013,0
922,0,922,0.001578581,922,3.91E-04,921.333346,0
922.0833,0,922.0833,0.001243174,922.0833,1.43E-04,921.41668,0
922.1667,0,922.1667,0.001360876,922.1667,1.57E-05,921.500013,0
922.25,0,922.25,0.001667588,922.25,8.80E-05,921.583346,0
922.3333,0,922.3333,0.001791991,922.3333,4.96E-04,921.66668,0
922.4167,0,922.4167,0.002795637,922.4167,7.07E-04,921.750013,0
922.5,0,922.5,0.00499486,922.5,7.63E-04,921.833347,0
922.5833,0,922.5833,0.006580659,922.5833,5.53E-04,921.91668,0
922.6667,0,922.6667,0.008462172,922.6667,6.32E-04,922.000013,0
922.75,0,922.75,0.013692952,922.75,9.91E-04,922.083347,0
922.8333,4.91E-04,922.8333,0.024097809,922.8333,0.001552206,922.16668,0
922.9167,0.013756091,922.9167,0.041190029,922.9167,0.002927236,922.250013,0
923,0.03114772,923,0.067927112,923,0.004703434,922.333347,0
923.0833,0.032130298,923.0833,0.109039646,923.0833,0.007738831,922.41668,0
923.1667,0.008646686,923.1667,0.161609826,923.1667,0.011943832,922.500013,0
923.25,0.00668153,923.25,0.238593634,923.25,0.017286955,922.583347,0
923.3333,0.010808357,923.3333,0.321483505,923.3333,0.021456844,922.66668,0
923.4167,0.019749816,923.4167,0.400916717,923.4167,0.02636409,922.750013,0
923.5,0.025055737,923.5,0.458636231,923.5,0.028735583,922.833347,0
923.5833,0.006583272,923.5833,0.46428713,923.5833,0.027725801,922.91668,0
923.6667,0.019356785,923.6667,0.41828747,923.6667,0.024158876,923.000013,0
923.75,0.021125425,923.75,0.330798974,923.75,0.016622647,923.083347,0
923.8333,0.005404179,923.8333,0.217159671,923.8333,0.010537726,923.16668,0
923.9167,2.95E-04,923.9167,0.121338732,923.9167,0.006949814,923.250013,0
924,0,924,0.065129584,924,0.003631903,923.333347,0
924.0833,0.014935184,924.0833,0.037591784,924.0833,0.002670149,923.41668,0
924.1667,0.021616714,924.1667,0.034461427,924.1667,0.001655928,923.500013,0
924.25,0.005404179,924.25,0.046161693,924.25,0.002320237,923.583347,0
924.3333,0.005109405,924.3333,0.064815311,924.3333,0.004295808,923.66668,0
924.4167,0.015524731,924.4167,0.079322383,924.4167,0.006196715,923.750013,0
924.5,0.005993725,924.5,0.093436314,924.5,0.005552586,923.833347,0
924.5833,7.86E-04,924.5833,0.100484859,924.5833,0.003570558,923.91668,0
924.6667,0,924.6667,0.09299317,924.6667,0.00337522,924.000013,0
924.75,0,924.75,0.072520239,924.75,0.002847325,924.083347,0
924.8333,0,924.8333,0.050085551,924.8333,0.001314088,924.16668,0
924.9167,0,924.9167,0.029549731,924.9167,4.42E-04,924.250013,0
925,0,925,0.014492467,925,1.44E-04,924.333347,0
925.0833,0,925.0833,0.007345292,925.0833,1.25E-04,924.41668,0
925.1667,0,925.1667,0.003695499,925.1667,1.24E-04,924.500013,0
925.25,0,925.25,0.001991655,925.25,4.76E-05,924.583347,0
925.3333,0,925.3333,0.001937358,925.3333,3.39E-05,924.66668,0
925.4167,0,925.4167,0.001583049,925.4167,3.32E-04,924.750013,0
925.5,0,925.5,0.001402973,925.5,6.16E-04,924.833347,0
925.5833,0,925.5833,0.001565522,925.5833,2.15E-04,924.91668,0
925.6667,0,925.6667,0.001588547,925.6667,1.02E-04,925.000013,0
925.75,0,925.75,0.001131657,925.75,3.64E-04,925.083347,0
925.8333,0,925.8333,7.95E-04,925.8333,2.05E-04,925.16668,0
925.9167,0,925.9167,6.00E-04,925.9167,3.51E-05,925.250013,0
926,0,926,4.93E-04,926,0,925.333347,0
926.0833,0,926.0833,5.50E-04,926.0833,4.32E-05,925.41668,0
926.1667,0,926.1667,5.81E-04,926.1667,1.85E-04,925.500013,0
926.25,0,926.25,5.02E-04,926.25,8.03E-05,925.583347,0
926.3333,0,926.3333,5.63E-04,926.3333,1.38E-04,925.66668,0
926.4167,0,926.4167,4.81E-04,926.4167,3.20E-04,925.750013,0
926.5,0,926.5,4.52E-04,926.5,1.86E-04,925.833347,0
926.5833,0,926.5833,4.17E-04,926.5833,2.09E-04,925.91668,0
926.6667,0,926.6667,3.18E-04,926.6667,1.36E-04,926.000013,0
926.75,0,926.75,2.62E-04,926.75,4.28E-04,926.083347,0
926.8333,0,926.8333,1.78E-04,926.8333,1.92E-04,926.16668,0
926.9167,0,926.9167,1.37E-04,926.9167,2.54E-05,926.250013,0
927,0,927,1.76E-04,927,0,926.333347,0
927.0833,0,927.0833,1.58E-04,927.0833,7.14E-05,926.41668,0
927.1667,0,927.1667,1.35E-04,927.1667,3.60E-04,926.500013,0
927.25,0,927.25,2.06E-04,927.25,3.48E-04,926.583347,0
927.3333,0,927.3333,2.26E-04,927.3333,6.74E-04,926.66668,0
927.4167,0,927.4167,2.15E-04,927.4167,6.38E-04,926.750013,0
927.5,0,927.5,1.63E-04,927.5,5.66E-04,926.833347,0
927.5833,0,927.5833,2.73E-04,927.5833,3.18E-04,926.91668,0
927.6667,0,927.6667,2.05E-04,927.6667,1.02E-04,927.000013,0
927.75,0,927.75,2.25E-04,927.75,6.94E-05,927.083347,0
927.8333,0,927.8333,2.34E-04,927.8333,2.66E-05,927.16668,0
927.9167,0,927.9167,9.73E-05,927.9167,3.03E-05,927.250013,0
928,0,928,1.32E-05,928,5.97E-04,927.333347,0
928.0833,0,928.0833,0,928.0833,7.45E-04,927.41668,0
928.1667,0,928.1667,4.12E-06,928.1667,6.28E-04,927.500013,0
928.25,0,928.25,5.12E-05,928.25,5.30E-04,927.583347,0
928.3333,0,928.3333,2.07E-04,928.3333,0.001249917,927.66668,0
928.4167,0,928.4167,2.02E-04,928.4167,0.002022388,927.750013,0
928.5,0,928.5,1.87E-04,928.5,0.001900907,927.833347,0
928.5833,0,928.5833,3.52E-04,928.5833,0.00149086,927.91668,0
928.6667,0,928.6667,2.34E-04,928.6667,8.98E-04,928.000013,0
928.75,0,928.75,9.69E-05,928.75,6.90E-04,928.083347,0
928.8333,0,928.8333,1.48E-04,928.8333,6.79E-04,928.16668,0
928.9167,0,928.9167,3.30E-04,928.9167,5.30E-04,928.250013,0
929,0,929,2.38E-04,929,5.59E-04,928.333347,0
929.0833,0,929.0833,2.00E-04,929.0833,3.45E-04,928.41668,0
929.1667,0,929.1667,1.86E-04,929.1667,1.88E-04,928.500013,0
929.25,0,929.25,1.64E-04,929.25,9.65E-05,928.583347,0
929.3333,0,929.3333,9.28E-05,929.3333,1.92E-04,928.66668,0
929.4167,0,929.4167,2.92E-04,929.4167,3.67E-04,928.750013,0
929.5,0,929.5,5.01E-04,929.5,9.23E-04,928.833347,0
929.5833,0,929.5833,4.97E-04,929.5833,0.001115925,928.91668,0
929.6667,0,929.6667,2.60E-04,929.6667,6.49E-04,929.000013,0
929.75,0,929.75,9.12E-05,929.75,2.30E-04,929.083347,0
929.8333,0,929.8333,9.06E-05,929.8333,1.64E-04,929.16668,0
929.9167,0,929.9167,8.13E-05,929.9167,5.65E-05,929.250013,0
930,0,930,9.50E-05,930,6.46E-06,929.333347,0
930.0833,0,930.0833,5.40E-05,930.0833,4.04E-07,929.41668,0
930.1667,0,930.1667,1.82E-05,930.1667,1.31E-04,929.500013,0
930.25,0,930.25,8.37E-05,930.25,1.32E-04,929.583347,0
930.3333,0,930.3333,9.67E-05,930.3333,1.69E-04,929.66668,0
930.4167,0,930.4167,1.18E-04,930.4167,9.16E-04,929.750013,0
930.5,0,930.5,7.59E-05,930.5,0.001062248,929.833347,0
930.5833,0,930.5833,1.93E-04,930.5833,3.06E-04,929.91668,0
930.6667,0,930.6667,2.85E-04,930.6667,1.43E-04,930.000013,0
930.75,0,930.75,3.76E-04,930.75,1.61E-04,930.083347,0
930.8333,0,930.8333,4.61E-04,930.8333,1.21E-04,930.16668,0
930.9167,0,930.9167,6.63E-04,930.9167,2.45E-04,930.250013,0
931,0,931,0.001551948,931,2.06E-04,930.333347,0
931.0833,0,931.0833,0.002682403,931.0833,7.14E-05,930.41668,0
931.1667,0,931.1667,0.003837257,931.1667,4.52E-04,930.500013,0
931.25,0,931.25,0.005455359,931.25,0.001028346,930.583347,0
931.3333,0,931.3333,0.006714512,931.3333,6.30E-04,930.66668,0
931.4167,0,931.4167,0.008979374,931.4167,5.40E-04,930.750013,0
931.5,0,931.5,0.011477062,931.5,9.29E-04,930.833347,0
931.5833,0,931.5833,0.012204924,931.5833,9.02E-04,930.91668,0
931.6667,0,931.6667,0.011887386,931.6667,0.001107046,931.000013,0
931.75,0,931.75,0.0096794,931.75,7.66E-04,931.083347,0
931.8333,0,931.8333,0.006707811,931.8333,4.69E-04,931.16668,0
931.9167,0,931.9167,0.004757566,931.9167,3.62E-04,931.250013,0
932,0,932,0.002975197,932,1.17E-04,931.333347,0
932.0833,0,932.0833,0.001880139,932.0833,6.46E-05,931.41668,0
932.1667,0,932.1667,0.001427201,932.1667,5.87E-04,931.500013,0
932.25,0,932.25,0.001782541,932.25,0.001185746,931.583347,0
932.3333,0,932.3333,0.001841134,932.3333,0.001655121,931.66668,0
932.4167,0,932.4167,0.003219364,932.4167,0.001027943,931.750013,0
932.5,0,932.5,0.005120466,932.5,7.40E-04,931.833347,0
932.5833,0,932.5833,0.008048411,932.5833,0.001253549,931.91668,0
932.6667,0.033604165,932.6667,0.01246404,932.6667,0.002022388,932.000013,0
932.75,0.055417394,932.75,0.020364336,932.75,0.002863872,932.083347,0
932.8333,0.0151317,932.8333,0.032784044,932.8333,0.005120342,932.16668,0
932.9167,0.001277351,932.9167,0.05421818,932.9167,0.007669414,932.250013,0
933,0.026333088,933,0.091578512,933,0.010266917,932.333347,0
933.0833,0.111719108,933.0833,0.150584156,933.0833,0.016253766,932.41668,0
933.1667,0.16369748,933.1667,0.241308341,933.1667,0.027294364,932.500013,0
933.25,0.107100992,933.25,0.363340398,933.25,0.044555893,932.583347,0
933.3333,0.088628528,933.3333,0.515863801,933.3333,0.058355834,932.66668,0
933.4167,0.05649823,933.4167,0.684446569,933.4167,0.075138706,932.750013,0
933.5,0.045493357,933.5,0.822961373,933.5,0.090972738,932.833347,0
933.5833,0.015917762,933.5833,0.883325315,933.5833,0.094022262,932.91668,0
933.6667,0.001866898,933.6667,0.841542996,933.6667,0.091219332,933.000014,0
933.75,3.93E-04,933.75,0.694825651,933.75,0.072178779,933.083347,0
933.8333,0.030459915,933.8333,0.495975428,933.8333,0.047642143,933.16668,0
933.9167,0.037534476,933.9167,0.302137592,933.9167,0.030971873,933.250014,0
934,0.117221545,934,0.164797574,934,0.019747238,933.333347,0
934.0833,0.088825043,934.0833,0.090957698,934.0833,0.01406187,933.41668,0
934.1667,0.032425071,934.1667,0.063906515,934.1667,0.014675327,933.500014,0
934.25,0.037436218,934.25,0.069186437,934.25,0.019054678,933.583347,0
934.3333,0.093443159,934.3333,0.091485897,934.3333,0.029612987,933.66668,0
934.4167,0.116828514,934.4167,0.120707781,934.4167,0.04207866,933.750014,0
934.5,0.087056403,934.5,0.145947041,934.5,0.049526907,933.833347,0
934.5833,0.046967224,934.5833,0.156709643,934.5833,0.047548914,933.91668,0
934.6667,0.016507309,934.6667,0.150395489,934.6667,0.042077046,934.000014,0
934.75,0.002554703,934.75,0.12425104,934.75,0.034209469,934.083347,0
934.8333,0,934.8333,0.08893563,934.8333,0.024135064,934.16668,0
934.9167,0,934.9167,0.055391591,934.9167,0.01608668,934.250014,0
935,0,935,0.029827061,935,0.008241301,934.333347,0
935.0833,0,935.0833,0.013555146,935.0833,0.004767604,934.41668,0
935.1667,0,935.1667,0.006516567,935.1667,0.00600501,934.500014,0
935.25,0.002554703,935.25,0.005267379,935.25,0.006768198,934.583347,0
935.3333,0.016114278,935.3333,0.005449688,935.3333,0.008939914,934.66668,0
935.4167,0.01110313,935.4167,0.005946271,935.4167,0.012906797,934.750014,0
935.5,0.029477337,935.5,0.006824654,935.5,0.016305829,934.833347,0
935.5833,0.014935184,935.5833,0.007585164,935.5833,0.016422063,934.91668,0
935.6667,0.002259929,935.6667,0.006309514,935.6667,0.015191114,935.000014,0
935.75,0,935.75,0.004747944,935.75,0.01302182,935.083347,0
935.8333,0,935.8333,0.003600822,935.8333,0.008331301,935.16668,0
935.9167,0,935.9167,0.002407478,935.9167,0.003765491,935.250014,0
936,0,936,0.001531329,936,0.001149423,935.333347,0
936.0833,0,936.0833,7.30E-04,936.0833,4.00E-04,935.41668,0
936.1667,0,936.1667,8.35E-04,936.1667,5.26E-04,935.500014,0
936.25,0,936.25,8.95E-04,936.25,0.001414178,935.583347,0
